                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00046641,             0.00046641,             0.00046641
                      2,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00088052,             0.00088052,             0.00088052
                      3,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012318,              0.0012318,              0.0012318
                      4,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                      5,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                      6,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010517,              0.0010517,              0.0010517
                      7,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00095743,             0.00095743,             0.00095743
                      8,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                      9,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0007688,              0.0007688,              0.0007688
                     10,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00067449,             0.00067449,             0.00067449
                     11,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     12,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00048586,             0.00048586,             0.00048586
                     13,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00039155,             0.00039155,             0.00039155
                     14,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     15,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00020292,             0.00020292,             0.00020292
