                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00046641,             0.00046641,             0.00046641
                      2,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00092408,             0.00092408,             0.00092408
                      3,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013629,              0.0013629,              0.0013629
                      4,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      5,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      6,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                      7,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                      8,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      9,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     10,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     11,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     12,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     13,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     14,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     15,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     16,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     17,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     18,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
                     19,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,               0.000948,               0.000948,               0.000948
                     20,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     21,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     22,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     23,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     24,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     25,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     26,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     27,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     28,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     29,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     30,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     31,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     32,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
